Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Sample AF mean	Nucleus: Sample AF sum	Nucleus: Sample AF std dev	Nucleus: Sample AF max	Nucleus: Sample AF min	Nucleus: Sample AF range	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Sample AF mean	Cell: Sample AF std dev	Cell: Sample AF max	Cell: Sample AF min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Sample AF mean	Cytoplasm: Sample AF std dev	Cytoplasm: Sample AF max	Cytoplasm: Sample AF min
WJ_Scan1.qptiff - resolution #1	abdcc8af-0f5a-4154-8d36-8536a761f3f2	Cell			Annotation	Polygon	2182.7	3860.1	28.25	19.8461	0.9013	7.137	5.3096	0.6278	56.7391	6525	13.6672	101	24	77	4.0957	471	0.9998	8	2	6	11.8087	1358	3.4435	22	8	14	27.0174	3107	4.5073	46	22	24	82.4435	9481	1.9019	90	78	12	91.25	38.6282	0.7685	14.7814	9	0.7484	30.168	22.7503	101	3	4.0298	1.9841	18	1	8.8455	3.4406	22	4	29.2087	10.2683	59	14	82.9079	3.4684	93	76	18.1378	14.2285	86	3	4	2.2962	18	1	7.5039	2.4652	16	4	30.2008	11.876	59	14	83.1181	3.9655	93	76	0.3044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	072aeb47-c002-4a48-815d-baf8591fbcb5	Cell			Annotation	Polygon	2267	3858.1	12	14.0789	0.7608	5.5899	3	0.8385	44.7308	2326	7.8543	76	32	44	7.2308	376	2.3061	18	5	13	47.1538	2452	28.4615	141	18	123	55.3269	2877	7.4983	79	45	34	88.8077	4618	2.9375	98	83	15	43	30.6665	0.5746	13.5449	4.2211	0.9477	26.6264	16.1153	76	6	7.2069	2.2561	24	4	42.2529	32.0264	242	8	61.5345	12.0503	92	41	90.3966	4.0869	102	83	18.9098	12.0172	60	6	7.1967	2.244	24	4	40.1639	33.3217	242	8	64.1803	12.6609	92	41	91.0738	4.324	102	83	0.2854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	ecdfadf7-4e2d-4b15-a7e8-aa0539593c50	Cell			Annotation	Polygon	2249.6	3861.1	35.75	25.0094	0.7183	10.2825	4.5948	0.8945	63.277	9365	13.998	113	35	78	3.7905	561	1.2413	12	2	10	89.6824	13273	43.4264	232	31	201	26.8649	3976	3.3353	37	21	16	80.6689	11939	2.078	88	76	12	102.5	39.8715	0.8102	14.3864	10.8659	0.4957	35.301	26.2965	113	6	4.3519	1.1756	12	2	65.1675	56.076	246	8	35.8786	10.4883	63	21	83.1359	3.4176	94	76	19.6174	16.8458	67	6	4.6667	1.0107	8	3	51.4242	57.7251	246	8	40.9318	9.7128	63	25	84.5189	3.2394	94	78	0.3424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	7d14c2da-7c79-4a84-9d58-76520f0d2530	Cell			Annotation	Polygon	2225.6	3863.3	45.5	24.4053	0.96	8.2446	7.1995	0.4158	47.2595	8743	11.0068	105	25	80	5.027	930	1.2399	9	3	6	11.7243	2169	6.2965	42	6	36	44.4324	8220	10.818	82	29	53	85.7405	15862	3.6037	98	80	18	216	53.3526	0.9536	17.9383	14.5	0.5056	18.8072	16.2176	105	5	6.5947	1.6366	12	3	8.515	3.6138	42	5	63.418	16.4505	112	29	91.0982	4.9865	107	80	11.0778	4.6597	40	5	7.0206	1.4631	12	4	7.6432	1.5235	24	5	68.5756	13.7066	112	39	92.5536	4.2645	107	83	0.2093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	c0e93b5e-a935-4ddd-b6d4-a72125be05e9	Cell			Annotation	Polygon	2192	3862.9	39	22.6492	0.9554	7.6775	6.7131	0.4903	64.354	10361	19.2599	143	36	107	8.1553	1313	11.3096	126	3	123	19.5839	3153	12.6578	75	7	68	31.087	5005	8.0237	53	20	33	83.2609	13405	3.0032	93	78	15	120.75	42.652	0.8341	16.2032	9.5127	0.7968	35.0849	26.9853	143	4	10.7971	11.2411	126	2	12.6439	9.1589	75	4	47.5818	20.202	101	15	87.8758	6.2531	107	77	20.4503	16.2492	127	4	12.118	10.9879	90	2	9.1739	3.1407	30	4	55.8292	19.3915	101	15	90.1832	6.1801	107	77	0.3255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	55a1a1a5-9879-43d1-9e0f-506d30aaa80e	Cell			Annotation	Polygon	2257.9	3863.4	31.5	23.2911	0.7297	7.984	5.2833	0.7818	80.5865	10718	17.0161	133	48	85	9.4211	1253	3.551	24	4	20	201.0451	26739	60.492	247	71	176	58.8271	7824	31.4078	212	28	184	94.7895	12607	12.425	154	80	74	81.25	35.9366	0.7906	13.4062	7.7627	0.8238	50.4677	30.858	133	8	10.6523	8.2861	47	3	160.3477	80.7699	247	17	75.6369	61.1502	255	27	100.9015	28.4868	244	79	29.6042	18.5994	76	8	11.5052	10.2941	47	3	132.1562	81.1501	247	17	87.2812	72.9958	255	27	105.1354	35.0121	244	79	0.3938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	cd7cd321-4186-4715-85fc-db0e9a1950fe	Cell			Annotation	Polygon	2266.1	3865.9	37.25	23.8263	0.8246	8.5792	6.6905	0.6081	102.3067	15346	24.0634	185	47	138	7.7467	1162	4.8136	30	4	26	109.4067	16411	72.1815	248	23	225	69.72	10458	56.539	255	36	219	100.1867	15028	29.7749	233	82	151	91.5	38.1231	0.7911	13.5089	9.4161	0.5556	58.0679	42.928	185	4	9.5109	10.9073	52	2	70.4293	65.9241	248	8	77.4674	70.1904	255	27	106.0734	45.2141	249	77	27.6284	20.8666	79	4	10.7248	13.4783	52	2	43.6101	44.72	247	8	82.7982	77.8925	255	27	110.1239	52.9932	249	77	0.4083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	8de45d4b-f014-44f6-bb98-2e9478a7de51	Cell			Annotation	Polygon	2275	3866.2	18	15.9877	0.8849	6.1431	3.7969	0.7769	54.8667	4115	20.3406	116	23	93	2.9333	220	0.9202	5	2	3	17.5067	1313	16.1181	95	5	90	26.6267	1997	7.5691	47	16	31	79.3867	5954	3.3527	90	73	17	117	41.6753	0.8465	15.7605	9.5	0.7871	14.2564	20.3975	116	1	2.4449	1.2741	7	1	8.3877	9.5159	95	3	23.0191	11.4206	67	12	76.9619	4.1952	90	71	6.5844	6.7962	60	1	2.3526	1.311	7	1	6.665	6.3585	82	3	22.3375	11.8952	67	12	76.5038	4.1843	90	71	0.1474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	5d23938c-8d04-41c5-994b-8b1f2fae495c	Cell			Annotation	Polygon	2201.8	3868.6	36.75	21.7234	0.9786	7.6443	6.2322	0.5436	64.3	9645	12.9888	117	34	83	5.4733	821	1.5531	10	3	7	15.6867	2353	6.0169	31	8	23	47.3333	7100	12.1692	83	33	50	87.8533	13178	4.2035	102	82	20	158	46.4306	0.921	15.9134	13.4459	0.4815	24.2563	23.764	117	4	6.8797	1.7574	10	3	9.7437	4.6193	31	5	65.1044	17.4033	99	33	93.3639	5.6723	108	82	11.7946	5.7365	42	4	7.3174	1.5798	10	3	7.8942	1.5284	18	5	70.6349	14.9102	99	38	95.0788	4.9313	108	85	0.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	f063009d-42be-4dd5-affe-b37fcaf71a6e	Cell			Annotation	Polygon	2249.2	3871.1	50.5	34.6982	0.5271	14.0782	5.4306	0.9368	68.7745	14030	19.1743	124	32	92	3.7108	757	0.7814	7	2	5	20.7647	4236	8.9091	53	8	45	29.598	6038	6.2553	55	22	33	80	16320	2.4695	89	75	14	156.75	54.824	0.6554	21.5847	9.8324	0.9019	33.7536	28.8276	124	4	4.5782	1.6335	12	2	18.6303	16.1284	184	5	40.5087	15.8684	107	20	83.0269	4.5733	103	75	17.1002	13.7911	70	4	4.9907	1.7668	12	2	17.6154	18.5273	184	5	45.697	16.4179	107	20	84.4662	4.642	103	75	0.3116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	2c7f06de-7eaf-4021-8954-b77808b60ff1	Cell			Annotation	Polygon	2180.6	3870.8	17.25	15.6171	0.8888	5.3446	4.3163	0.62	48.96	3672	25.0672	149	26	123	4.3333	325	0.8751	6	3	3	11.5067	863	5.6649	40	6	34	42.88	3216	11.5231	85	29	56	87.5733	6568	4.6649	107	82	25	90.5	35.2977	0.9128	12.7915	9.9678	0.6004	22.663	19.054	149	3	6.1918	5.1083	38	1	8.8329	3.5959	40	4	61.337	49.9128	248	15	96.2274	26.8552	232	76	15.8621	8.3964	47	3	6.6724	5.6163	38	1	8.1414	2.3946	18	4	66.1103	54.7042	248	15	98.4655	29.6367	232	76	0.1971	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	98826845-09cd-4392-929f-ed833b117002	Cell			Annotation	Polygon	2190.1	3876.1	50.5	29.588	0.7249	10.2743	6.6005	0.7956	51.6908	10700	18.0154	145	27	118	4.8309	1000	1.1215	9	2	7	12.8406	2658	4.3431	33	7	26	42.3188	8760	9.3458	63	24	39	86.7971	17967	3.2854	98	79	19	144.25	46.2548	0.8473	16.0748	11.951	0.5664	28.4261	21.3866	145	5	5.9467	1.4839	13	2	10.7973	4.1079	34	6	51.0533	11.3016	81	24	88.7715	3.3501	98	79	15.584	8.1761	47	5	6.5627	1.2878	13	4	9.6693	3.4983	34	6	55.8747	9.2075	81	28	89.8613	2.8533	98	80	0.3538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	15139f97-d53d-49e0-ac12-59f72ef8f62c	Cell			Annotation	Polygon	2172.2	3873.9	25.75	19.093	0.8876	6.7946	5.1058	0.548	56.2762	5909	14.0285	117	32	85	5.1333	539	1.5815	9	3	6	17.3905	1826	16.93	114	7	107	38.7714	4071	11.9906	81	27	54	85.3238	8959	3.4236	98	80	18	76	34.037	0.8244	12.6261	8.2569	0.7821	33.4304	21.1445	117	6	9.8608	8.9296	48	3	13.7476	12.5357	114	7	79.4693	54.9922	248	27	100.5146	26.1082	232	80	21.6716	12.9848	87	6	12.2941	10.1089	48	3	11.8725	9.0103	98	7	100.4167	56.7188	248	29	108.3333	29.1104	232	82	0.3317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	9ac73ddf-cd15-4dd0-ab0d-54fa27efef09	Cell			Annotation	Polygon	2235	3874.6	32	22.6121	0.7865	8.9174	4.7869	0.8637	60.4812	8044	19.9019	147	29	118	9.9023	1317	8.6959	67	4	63	91.2556	12137	51.2076	244	34	210	46.9624	6246	11.3748	79	30	49	86.2707	11474	4.0567	99	79	20	124.25	42.573	0.8615	16.1959	10.6962	0.759	27.9118	23.8853	147	6	9.2084	11.2502	150	4	60.0862	56.2031	246	8	52.9018	13.6544	96	30	87.9559	4.6537	105	79	16.0765	10.4002	60	6	8.9563	12.0457	150	4	48.7596	53.6548	246	8	55.0601	13.7863	96	31	88.5683	4.7102	105	80	0.2572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	e77ad8de-6c4e-4329-b9b7-017b4d2cdf44	Cell			Annotation	Polygon	2263.6	3877.1	31.5	20.1609	0.9739	6.9385	5.7962	0.456	81.4186	10503	19.5735	143	43	100	6.9225	893	2.6417	22	4	18	28.9225	3731	12.8328	62	10	52	57.3488	7398	14.4836	90	35	55	87.4496	11281	4.6165	98	80	18	132.25	43.6095	0.8739	15.2487	12.7605	0.5386	31.1936	30.6521	143	7	8.6128	2.7426	22	3	14.9417	10.4007	62	7	79.8684	25.7268	132	35	94.094	7.6169	111	79	15.1166	7.1047	53	7	9.1538	2.5502	16	3	10.4665	2.7663	28	7	87.0769	24.3441	132	36	96.2208	7.1518	111	79	0.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	99c28c0b-b400-4d9b-9778-bce2bde84c9e	Cell			Annotation	Polygon	2178.6	3880	21.5	16.4793	0.9949	5.3795	5.0473	0.2537	85.1348	7577	24.8336	175	45	130	4.191	373	0.7816	6	3	3	30.7191	2734	24.6816	133	10	123	34.9326	3109	9.202	67	24	43	84.7865	7546	3.4261	96	80	16	61	29.4194	0.8857	10.579	8.0833	0.6782	42.7976	36.2429	175	5	5.0648	1.9095	11	2	28.1377	30.3233	173	7	43.5709	18.4018	99	19	86.7895	5.65	106	77	18.9494	11.1371	57	5	5.557	2.1666	11	2	26.6835	33.0664	173	7	48.4367	20.4206	99	19	87.9177	6.3154	106	77	0.3362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	15cc6fe3-2a2e-4349-abfa-17348609b037	Cell			Annotation	Polygon	2216.5	3879.2	40.75	24.2564	0.8703	9.096	5.8055	0.7692	52.9091	8730	12.8028	100	28	72	5.9273	978	1.257	11	4	7	20.8667	3443	13.5824	81	8	73	51.3091	8466	10.4861	89	36	53	87.6545	14463	3.5418	98	82	16	171.25	48.0292	0.9329	15.8486	14.4033	0.3978	23.4419	19.6377	100	4	7.5814	3.935	67	3	15.2965	16.8585	216	6	63.9738	19.16	101	27	91.1061	5.7139	101	78	14.1453	9.7457	61	4	8.1033	4.3294	67	3	13.5392	17.4122	216	6	67.9694	19.5423	101	27	92.195	5.8372	101	78	0.2315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	c2796693-837f-4668-af4e-3e451601efb0	Cell			Annotation	Polygon	2247.1	3880.2	31.75	21.9065	0.8314	8.1762	4.8583	0.7935	52.1298	6829	9.5848	87	28	59	6.0458	792	1.6261	11	4	7	15.0382	1970	3.4045	24	9	15	49.7328	6515	15.4854	97	31	66	85.4885	11199	4.459	100	79	21	91.5	36.9249	0.8433	13.1295	9.9418	0.5317	27.9272	20.8187	87	3	6.3639	2.4516	12	1	12.9407	4.527	38	6	55.6226	23.6507	115	17	87.5337	7.1513	105	73	14.7167	11.1668	58	3	6.5375	2.7894	12	1	11.7958	4.6577	38	6	58.8375	26.5729	115	17	88.65	8.0507	105	73	0.3415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	3d23af1f-6f65-4b5c-8532-6ad0b925113e	Cell			Annotation	Polygon	2201.7	3883	51	27.153	0.8692	9.7668	7.3065	0.7096	62.5121	12940	14.9821	108	32	76	4.5266	937	1.5385	11	3	8	21.9807	4550	13.0268	144	8	136	41.0725	8502	14.7293	85	25	60	84.9469	17584	4.7421	99	78	21	158.25	49.3031	0.8181	17.3798	12.5756	0.7009	31.1478	24.2215	108	7	6.3255	2.2657	11	3	17.1415	15.6158	145	6	59.8758	23.4498	108	25	90.4041	7.0056	106	78	16.014	7.5532	47	7	7.1935	2.0387	11	3	14.8065	16.2273	145	6	68.9487	21.3989	108	27	93.0373	6.3749	106	79	0.3188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	54db3369-d2ee-4d39-a5b1-c17b6e6c5619	Cell			Annotation	Polygon	2289.2	3882.2	15.25	15.9605	0.7523	6.6948	3.0051	0.8892	49.7727	3285	18.7229	104	21	83	4.2121	278	1.4834	8	2	6	10.303	680	3.0381	20	6	14	42.6364	2814	15.3268	81	20	61	82.6818	5457	5.1773	94	74	20	166.75	46.9034	0.9525	16.9212	12.7279	0.6403	12.3967	14.7083	104	2	6.1362	6.5624	87	1	6.6811	2.679	20	3	51.4686	40.902	121	11	84.4042	12.4988	106	69	8.299	5.6522	29	2	6.3472	6.8633	87	1	6.2841	2.317	10	3	52.4369	42.6824	121	11	84.593	13.0428	106	69	0.0899	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	7a0670c4-e0ce-4615-ae19-6554d7165f8a	Cell			Annotation	Polygon	2233.8	3883.1	40	32.2716	0.4826	12.8617	5.252	0.9471	64.784	10495	17.5915	137	18	119	4.2654	691	1.7331	12	2	10	69.0123	11180	68.5596	246	15	231	30.3704	4920	9.2816	78	20	58	81.2716	13166	4.5012	110	75	35	122.25	47.9268	0.6688	19.1766	8.5147	0.9051	32.8182	28.5283	137	3	4.3333	2.8263	40	2	44.7717	56.0221	246	7	29.3333	10.3595	111	18	80.7151	5.3502	130	74	17.2673	17.8821	87	3	4.3664	3.2289	40	2	32.979	44.32	246	7	28.8288	10.8227	111	18	80.4444	5.7046	130	74	0.3215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	ff653f25-6d93-4372-a5a0-4a2fec4a5bc0	Cell			Annotation	Polygon	2171.1	3885.1	19.25	16.6195	0.8758	6.044	4	0.717	49.825	3986	9.1621	85	34	51	4.7625	381	1.4253	9	3	6	19.975	1598	5.7982	44	11	33	39.125	3130	11.5555	79	28	51	85.0625	6805	3.2231	96	80	16	43	27.8784	0.6953	11.0941	5.6507	0.8698	31.0618	18.9227	85	5	5.5337	1.795	11	3	22.5899	13.7346	103	9	48.809	17.8138	91	28	88.0112	5.2819	101	80	15.7449	7.5918	39	5	6.1633	1.8259	11	4	24.7245	17.5098	103	9	56.7143	18.1608	91	35	90.4184	5.4241	101	83	0.4281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	d121ff30-699c-4b8a-add4-0200fa44828d	Cell			Annotation	Polygon	2256.7	3885.6	24	19.4334	0.7986	7.2206	4.7867	0.7847	61.551	6032	22.4629	121	21	100	3.8776	380	1.4802	11	2	9	40.3163	3951	40.6274	177	6	171	25.9796	2546	4.4536	37	19	18	78.1633	7660	2.3581	84	74	10	92.25	38.602	0.778	15.2996	8.5513	0.7565	29.4133	25.7977	121	3	3.96	1.9337	11	2	22.936	31.9087	196	6	31.5413	16.9208	96	16	79.232	5.4964	100	72	18.0433	15.1003	104	3	3.9892	2.072	10	2	16.787	25.581	196	6	33.509	19.1347	96	16	79.6101	6.1995	100	72	0.2546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	04ccb4a0-4a05-4548-aa4f-fa586557bb05	Cell			Annotation	Polygon	2208.9	3887.4	14.75	14.2372	0.9144	4.6978	4.1545	0.4375	70.4219	4507	16.3472	117	37	80	6.5312	418	4.7038	29	3	26	26.2656	1681	20.9915	147	9	138	25.7656	1649	4.5417	39	20	19	79.8125	5108	1.9013	84	77	7	51.75	28.9866	0.774	11.2311	7.3739	0.7756	36.4476	26.8035	117	6	5.4476	2.9783	29	3	28.4619	32.4604	222	7	37.8238	15.1273	89	20	83.6571	4.9026	97	76	21.5548	13.6614	53	6	4.9726	1.5578	10	3	29.4247	36.39	222	7	43.1096	15.1184	89	22	85.3425	4.8671	97	76	0.2864	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	9e0e3db9-c813-401d-bbcb-1ecfb35a3d24	Cell			Annotation	Polygon	2180.1	3888.1	34.25	22.4506	0.8539	8.5034	5	0.8273	52.8261	7290	13.715	104	28	76	5.8333	805	1.4578	11	3	8	101.2609	13974	56.0208	247	28	219	45.5145	6281	9.1757	65	28	37	87.5435	12081	2.8287	94	80	14	102.75	40.9973	0.7682	14.4864	11.1144	0.6493	28.8096	20.4689	104	5	6.2578	2.2849	20	2	89.2723	65.094	252	7	50.7542	14.5751	80	21	88.7783	4.5523	101	78	16.8448	10.15	48	5	6.4693	2.5771	20	2	83.2996	68.4863	252	7	53.3646	16.0091	80	21	89.3935	5.0962	101	78	0.3224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
