Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Sample AF mean	Nucleus: Sample AF sum	Nucleus: Sample AF std dev	Nucleus: Sample AF max	Nucleus: Sample AF min	Nucleus: Sample AF range	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Sample AF mean	Cell: Sample AF std dev	Cell: Sample AF max	Cell: Sample AF min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Sample AF mean	Cytoplasm: Sample AF std dev	Cytoplasm: Sample AF max	Cytoplasm: Sample AF min
WJ_Scan1.qptiff - resolution #1	7322e0e1-0b9b-4076-8f1e-df1b49fc159e	Cell			Annotation	Polygon	2333.1	6329.9	21.25	18.1935	0.8067	7.4441	4.2388	0.8005	108.3778	9754	30.7588	179	43	136	14.7556	1328	26.7352	213	5	208	100.8778	9079	52.9027	248	27	221	49.6667	4470	19.5373	112	28	84	86.6222	7796	6.6932	107	77	30	92.5	37.2969	0.8356	13.2767	10.1549	0.6159	45.3307	44.2297	185	9	20.5307	37.9608	255	5	46.5253	54.6861	248	7	92.08	35.3611	147	26	99.888	11.2242	118	76	25.4211	24.9454	185	9	22.3544	40.7405	255	7	29.3614	42.7715	244	7	105.4737	27.8739	147	26	104.0772	8.8593	118	76	0.2241	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	d46f9d0d-2d66-41e6-9b04-ce2ccb757d18	Cell			Annotation	Polygon	2353.7	6332.3	11.75	12.4971	0.9454	4.455	3.5777	0.5797	51.5918	2528	12.1397	88	34	54	6.1429	301	1.8708	11	4	7	11.449	561	3.0074	21	8	13	52.5306	2574	16.8648	86	32	54	83.5918	4096	6.0378	97	75	22	54.75	27.1316	0.9346	9.2432	7.3071	0.542	26.2805	17.1897	88	6	9.7466	3.6218	24	3	10.095	3.0399	25	5	80.819	26.8562	119	31	92.9276	9.0184	107	75	19.0698	10.1443	49	6	10.7733	3.3335	24	3	9.7093	2.9454	25	5	88.8779	23.5258	119	31	95.5872	7.8939	107	75	0.2066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	64b0e014-7ef0-4985-a22f-fe9f340296bc	Cell			Annotation	Polygon	2285.9	6333.7	34.5	22.0298	0.8933	8.1994	5.1752	0.7931	48.6475	6762	15.2053	113	27	86	10.4604	1454	1.5938	14	8	6	13.0647	1816	4.9258	38	7	31	99.0216	13764	17.4678	141	69	72	104.0935	14469	5.3837	118	93	25	191.25	50.822	0.9305	17.9421	14.597	0.5537	19.3583	16.0737	113	4	10.6003	3.4745	20	2	11.7154	13.9949	186	5	102.1345	35.5993	157	22	104.6611	11.7306	125	76	12.9369	5.9175	48	4	10.6309	3.7635	20	2	11.4196	15.2672	186	5	102.817	38.425	157	22	104.7855	12.7051	125	76	0.1742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	cb07e26c-098b-4ee2-b44f-589fd2b1a6aa	Cell			Annotation	Polygon	2362.3	6336.2	28.75	20.4541	0.8635	8.2097	4.866	0.7809	76.7797	9060	24.894	184	34	150	6.678	788	1.8714	12	4	8	21.9153	2586	13.3035	123	8	115	53.6441	6330	17.9656	98	29	69	82.2712	9708	5.6276	96	74	22	102	38.6408	0.8585	13.8513	9.1328	0.7387	34.2077	31.0759	184	6	9.1329	2.9234	14	4	14.901	12.1618	123	5	81.7126	29.8232	133	29	91.5024	9.5926	111	74	17.2365	9.6057	61	6	10.1115	2.6841	14	4	12.1047	10.4573	91	5	92.902	26.0081	133	36	95.1824	8.2819	111	77	0.2763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	db7b3571-58cd-4e4c-a5b1-7fba679035aa	Cell			Annotation	Polygon	2273.3	6336.3	33.5	20.8685	0.9667	6.9758	6.2666	0.3779	73.2815	9893	16.8849	142	37	105	7.5778	1023	1.9527	12	5	7	12.5259	1691	3.7612	27	7	20	74.9704	10121	23.2286	131	43	88	96.1333	12978	8.1294	119	85	34	155	47.0664	0.8793	15.6757	13.8994	0.3624	27.6164	26.2481	142	4	10.1043	2.8262	22	3	16.512	32.628	248	5	100.3644	29.5532	157	31	103.26	9.4335	124	80	14.9836	7.9702	52	4	10.8033	2.6255	22	3	17.6148	36.7449	248	5	107.3893	27.1813	157	31	105.2316	8.8034	124	80	0.2117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	36fd22f3-282f-4b9c-8995-85b94461457e	Cell		6 EGM	Annotation	Polygon	2340.4	6339.1	38.25	26.2784	0.6961	9.8599	5.7707	0.8466	114.2767	18170	26.1035	204	61	143	84.7421	13474	64.3257	255	8	247	143.4969	22816	91.6404	255	17	238	48.1132	7650	12.5899	95	31	64	87.6981	13944	6.4423	108	77	31	84.25	35.8072	0.8257	12.3247	9.8677	0.5925	79.1681	43.2005	207	9	81.003	70.7368	255	8	127.9617	90.986	255	14	58.1799	25.5117	143	28	90.2153	9.2387	123	76	48.1556	29.3351	207	9	77.7	75.9773	255	8	114.2389	88.4051	255	14	67.0722	30.3238	143	28	92.4389	10.674	123	76	0.4616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	7cdc2124-e4be-4f6f-b1da-cfad1b866262	Cell			Annotation	Polygon	2305.6	6339.6	42.25	24.8693	0.8584	8.1753	7.0028	0.4536	82.7427	14149	27.1313	202	42	160	3.0292	518	0.5361	4	2	2	11.655	1993	3.4578	30	7	23	24.5497	4198	3.1439	34	20	14	77.4327	13241	1.6377	81	73	8	115	40.5362	0.8795	14.3698	10.1522	0.7168	46.7084	34.7009	202	3	3.1102	0.955	10	1	15.7408	16.6188	128	5	25.8337	6.6199	50	15	78.0562	2.3551	86	73	25.6062	16.4884	102	3	3.1575	1.1287	10	1	18.1336	20.3945	128	5	26.5856	7.8908	50	15	78.4212	2.6224	86	73	0.3585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	3b9717af-56ff-489f-8b79-767405722b3f	Cell			Annotation	Polygon	2330.5	6339.2	28.25	19.193	0.9637	6.6464	5.6703	0.5583	82.3559	9718	22.6129	167	36	131	9.1102	1075	2.779	23	5	18	28.3475	3345	14.0879	95	10	85	63.5678	7501	20.2263	115	34	81	89.8305	10600	6.9985	107	79	28	107.25	39.6343	0.858	14.998	9.874	0.6896	36.8121	33.4605	167	7	11.3527	2.8483	23	5	16.6914	12.7529	106	6	92.7517	27.2882	139	34	98.3898	8.9776	116	79	19.6422	16.4636	87	7	12.1981	2.3803	17	6	12.2971	8.8863	106	6	103.754	20.7197	139	53	101.6166	7.3863	116	83	0.2617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	6c3403fc-83e6-479d-8033-f8d23bcebf7b	Cell			Annotation	Polygon	2319.6	6340.5	38.5	32.43	0.46	10.7266	6.8984	0.8268	61.1111	9350	24.7869	158	27	131	3.7059	567	1.342	8	2	6	9.634	1474	1.9458	15	7	8	29.4052	4499	10.2569	66	19	47	78.732	12046	3.8679	96	74	22	158.75	51.2032	0.7609	17.6647	14.0259	0.5195	29.6891	25.183	158	4	4.4078	1.7738	15	2	9.9391	7.4855	115	5	35.5375	14.2459	95	19	80.2375	4.6435	100	74	19.8172	15.2707	99	4	4.6283	1.8357	15	2	10.0349	8.5117	115	5	37.4641	14.7776	95	20	80.7105	4.7679	100	74	0.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	bbcb1b23-2e47-4098-99e9-63b7ffb5b3b5	Cell			Annotation	Polygon	2350.9	6343.8	53.5	40.1743	0.4166	13.5362	9.0183	0.8097	85.9364	18906	24.9653	142	32	110	18.3955	4047	19.0187	124	4	120	37.6182	8276	22.8405	181	10	171	39.0773	8597	14.8025	103	22	81	79.7091	17536	4.5758	99	72	27	185.5	53.7103	0.808	20.2631	14.6118	0.5521	44.1812	33.2981	142	7	32.1799	52.7672	255	4	26.7369	25.8482	255	7	70.8685	33.0235	138	22	89.7168	10.0933	111	72	26.6838	16.5844	90	7	37.9562	60.7373	255	6	22.1771	25.6917	255	7	84.1905	29.2352	138	26	93.9105	8.7308	111	76	0.2905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
