"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pdgfrb",4.89232122723732e-08,-0.623669175381914,0.867,0.99,0.000743975289025979
"Rgs5",4.89914970602467e-08,0.561691672928457,0.327,0.031,0.000745013695795171
"Adora1",5.35328707742764e-06,0.45594544285905,0.195,0,0.0814074365864421
"Gata3",0.000113196469831531,-0.593790153368444,0.531,0.781,1
"Agtr1a",0.00130226636456091,0.533334022700756,0.796,0.719,1
"Tenm2",0.238312510429637,0.153555382891007,0.035,0.01,1
"Dgkg",0.465598140488441,-0.0888269747125083,0.009,0.021,1
"Pdgfra",0.759210029490417,0.0312985128747241,0.584,0.552,1
"Hpse2",1,0,0,0,1
