Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio
WI_Scan1.qptiff - resolution #1	e0c4c4af-606f-4219-9a43-52204a29db6b	Cell			Annotation	Polygon	6921.1	2270.1	63.5	38.5151	0.5379	13.4114	8.5591	0.8418	64.529	16713	14.8453	107	31	76	7.3205	1896	3.2531	24	3	21	66.1313	17128	65.6214	247	9	238	66.1699	17138	33.798	252	33	219	96.39	24965	11.3952	158	83	75	129.25	48.2332	0.6981	17.5898	12.7497	0.7227	44.9269	24.4595	107	6	11.1788	7.0624	40	3	53.8827	56.624	247	8	101.3654	60.1435	255	33	106.9423	20.5456	190	83	25.4751	14.5931	77	6	15.0077	7.7146	40	4	41.728	42.7718	238	8	136.2912	60.2377	255	42	117.4138	22.1983	190	86	0.4867
WI_Scan1.qptiff - resolution #1	ea651d72-611a-488c-af90-b7e1555f1170	Cell			Annotation	Polygon	6931.5	2268.1	27.75	19.1809	0.9478	6.5884	5.4232	0.5889	59.1667	6745	13.1431	104	35	69	6.614	754	2.7859	14	3	11	25.1579	2868	13.3175	93	12	81	63.0526	7188	31.0238	167	31	136	93.5175	10661	9.7574	126	82	44	73.75	33.5048	0.8256	13.1133	7.4034	0.836	33.6342	23.8525	104	4	10.8792	4.8248	20	3	26.0604	19.8795	179	7	109.1409	50.0713	195	31	106.6812	14.6883	134	82	17.8152	12.6088	68	4	13.5217	3.8254	20	5	26.6196	23.0444	179	7	137.6956	36.4908	195	47	114.837	10.7949	134	87	0.3659
WI_Scan1.qptiff - resolution #1	f8d80ca3-ef24-43f5-9c0b-717975dd6bf6	Cell			Annotation	Polygon	6989.4	2269.1	38	23.2138	0.8861	8.7843	6.3981	0.5903	47.8599	7514	10.9565	82	25	57	12.7325	1999	3.4032	24	6	18	37.4459	5879	20.954	120	12	108	116.1656	18238	29.8962	193	60	133	107.8662	16935	8.5133	129	91	38	154	47.0929	0.8726	16.3665	12.9678	0.4315	23.0887	16.2154	82	5	15.3403	5.5805	49	6	29.4484	20.525	169	9	151.0355	51.5036	253	60	118.6226	15.3122	149	91	14.689	5.7036	40	5	16.2246	5.8924	49	7	26.7365	19.6742	169	9	162.8596	51.9514	253	74	122.27	15.3955	149	93	0.243
WI_Scan1.qptiff - resolution #1	c449c4ea-88b4-411d-a0a9-b322e4755969	Cell			Annotation	Polygon	6943.6	2271	32.75	24.6888	0.6752	8.3834	6.1645	0.6886	85.7206	11658	19.8579	131	30	101	6.3088	858	2.4053	22	3	19	91.3382	12422	71.6565	247	12	235	48.3235	6572	15.4325	93	31	62	91.0368	12381	5.6285	113	84	29	123	44.1356	0.7935	16.4822	11	0.7572	36.0605	36.9232	131	2	6.2298	4.5318	63	2	45.1915	60.9207	247	5	52.5605	26.671	162	20	90.9919	8.8808	123	78	17.3	21.0789	102	2	6.2	5.1125	63	2	27.7583	45.5515	246	5	54.1611	29.6966	162	20	90.975	9.8403	123	78	0.2676
WI_Scan1.qptiff - resolution #1	e4f7dd44-948b-4c44-9bfe-f3a981c6b6c9	Cell			Annotation	Polygon	6974.9	2272.5	19.75	16.333	0.9303	5.5114	4.5	0.5664	39.0864	3166	8.698	63	25	38	16.9383	1372	7.9457	41	8	33	25.2099	2042	18.4206	82	10	72	105.4321	8540	36.1082	214	63	151	106.3086	8611	10.54	138	94	44	82.25	37.1469	0.749	14.8626	7.7901	0.8507	21.238	11.534	63	7	22.262	10.7692	105	8	26.997	23.096	187	8	179.3976	63.8992	255	63	127.8163	19.1224	161	94	15.4781	3.9246	30	7	23.9801	11.0093	105	9	27.5737	24.4193	187	8	203.2669	51.4221	255	78	134.757	15.8225	161	96	0.2344
WI_Scan1.qptiff - resolution #1	46421cd0-e26f-4e07-965a-ae6621bdc78c	Cell			Annotation	Polygon	6933.1	2273.5	16.5	16.807	0.734	6.754	3.4854	0.8512	53.9155	3828	9.423	85	31	54	5.9577	423	2.4168	14	3	11	26.7746	1901	17.6467	94	9	85	50.2113	3565	20.3834	115	30	85	89.9718	6388	6.1921	110	81	29	33.5	24.685	0.6909	9.734	5.1278	0.8812	37.5324	19.4933	85	10	9.6691	4.5626	18	3	42.6475	34.219	189	9	91.6763	48.8656	181	30	101.8705	14.0609	128	81	20.4265	10.4157	50	10	13.5441	2.6341	18	7	59.2206	39.2515	189	16	134.9706	27.5643	181	69	114.2941	7.7768	128	96	0.4891
WI_Scan1.qptiff - resolution #1	3dd351ad-4572-4964-a25e-306fbefc2b24	Cell			Annotation	Polygon	2584.3	1881	10.75	13.2331	0.7714	5.4646	2.5973	0.8636	47.4	2133	13.5971	105	31	74	3.0889	139	1.2214	6	2	4	34.1111	1535	29.4589	133	10	123	24.5556	1105	6.4792	53	20	33	81.2667	3657	2.5884	90	78	12	39.75	29.3822	0.5786	12.7867	5.1544	0.9159	22.9814	17.6244	105	4	6.3975	4.5529	26	2	22.3106	25.5542	197	5	56.472	40.6279	136	16	91.0435	13.1996	117	77	13.5086	6.1312	33	4	7.681	4.7248	26	2	17.7328	22.3803	197	5	68.8534	41.5599	136	16	94.8362	13.7087	117	77	0.2593
WI_Scan1.qptiff - resolution #1	6f9747bf-44a6-4262-99f1-c8ff5ad08650	Cell			Annotation	Polygon	2613.3	1882	21	18.2532	0.7921	6.2005	4.9949	0.6037	52.2976	4393	11.8584	82	27	55	12.2738	1031	10.1618	77	5	72	38.0714	3198	32.9259	176	12	164	54.381	4568	14.7525	101	36	65	91.4881	7685	4.9952	107	84	23	57.25	30.6616	0.7652	11.5781	6	0.8169	31.1466	20.0068	82	7	9.7155	6.7121	77	4	36.7931	34.3491	228	10	63.4914	18.9956	101	35	93.681	5.6593	107	83	19.1419	12.2013	55	7	8.2635	2.575	17	4	36.0676	35.2205	228	10	68.6622	19.2299	101	35	94.9257	5.6509	105	83	0.3493
WI_Scan1.qptiff - resolution #1	37dd6bc6-b3d9-4046-a981-a52d8aba6b7c	Cell			Annotation	Polygon	2624.9	1883	39.25	25.2365	0.7744	8.8956	6.6338	0.5955	52.7423	8597	9.0932	76	35	41	5.2086	849	4.9857	45	2	43	12.2577	1998	7.1859	55	6	49	30.2454	4930	8.8339	70	21	49	82.7423	13487	3.1023	93	78	15	95.75	38.409	0.8156	14.3631	9	0.7554	34.0365	19.6937	76	8	6.8125	5.193	63	2	13.4349	9.3228	95	6	48.3516	23.6643	93	21	88.2526	7.2958	104	78	20.2398	12.8003	59	8	7.9955	5.0331	63	2	14.3032	10.5595	95	6	61.7059	22.2576	93	24	92.3167	6.8184	104	79	0.4134
WI_Scan1.qptiff - resolution #1	615c33cb-5cb1-4e45-adcf-02703aa24c8a	Cell			Annotation	Polygon	2580.9	1885.2	12.5	13.4169	0.8726	4.6139	3.8634	0.5259	38.1818	2100	8.0464	60	22	38	5.8727	323	2.0372	11	3	8	15.9273	876	8.4522	57	7	50	51	2805	16.128	87	26	61	90.2182	4962	5.1521	103	81	22	44.25	28.6695	0.6765	11.4853	6.4098	0.8424	20.2363	14.5323	60	4	5.489	2.1382	11	2	12.478	14.2312	142	5	51.2802	18.916	94	20	90.0659	6.1146	103	78	12.4646	8.6123	47	4	5.3228	2.1671	11	2	10.9843	15.902	142	5	51.4016	20.0619	94	20	90	6.5052	103	78	0.2738
WI_Scan1.qptiff - resolution #1	74dc4be9-e948-4d26-bec1-a4185fb0355c	Cell			Annotation	Polygon	2571.6	1885	38.25	22.9169	0.9152	8.7018	5.5	0.7476	62.3063	9969	15.1516	119	34	85	5.7188	915	3.1785	25	3	22	19.4375	3110	20.3531	147	8	139	47.0438	7527	15.1219	87	29	58	88.975	14236	4.9791	103	81	22	122.75	44.1668	0.7908	16.3533	10.8447	0.6114	30.1616	25.3259	119	5	7.6	2.9834	25	3	23.303	26.4822	162	5	68.7879	24.6039	115	28	96.097	7.9303	113	81	14.809	10.3914	60	5	8.4985	2.4186	21	3	25.1493	28.8008	162	5	79.1731	21.2559	115	28	99.4985	6.7313	113	84	0.3076
WI_Scan1.qptiff - resolution #1	5daaa51e-5748-4112-96f0-891c3e73faf1	Cell			Annotation	Polygon	2590.8	1886.8	25.25	17.7937	1	6.0116	5.0791	0.4254	44.1961	4508	7.1005	76	27	49	9.5294	972	3.6579	23	5	18	26.9314	2747	13.1128	71	11	60	78.9706	8055	19.967	118	50	68	99.4314	10142	6.5439	114	88	26	89.75	35.8503	0.8775	12.7277	9.7491	0.5967	22.6731	15.4927	76	4	9.3049	3.8559	36	3	24.967	21.5787	173	5	81.6154	24.3673	120	24	99.8516	7.8855	114	80	14.2939	7.9245	42	4	9.2176	3.9336	36	3	24.2023	24.062	173	5	82.645	25.8405	120	24	100.0153	8.3556	113	80	0.2669
WI_Scan1.qptiff - resolution #1	736d7c25-2af2-4211-a4b9-7f2f42841a28	Cell			Annotation	Polygon	2600.8	1888.8	37.75	22.123	0.9693	7.2673	6.6363	0.3541	77.5	12090	16.5059	115	39	76	6.9359	1082	2.3132	16	4	12	46.7821	7298	24.2836	116	15	101	61.3397	9569	20.1172	112	32	80	94.0769	14676	6.9063	112	84	28	162.25	47.5485	0.9018	16.6367	12.1096	0.634	27.6242	29.8355	115	4	7.3926	3.0165	16	2	34.0491	40.4879	248	6	69.7132	30.2014	141	19	96.1979	9.6876	121	79	11.9375	7.4053	51	4	7.5363	3.1945	13	2	30.0444	43.6357	248	6	72.3468	32.3081	141	19	96.8649	10.326	121	79	0.2312
WI_Scan1.qptiff - resolution #1	3e9faf97-d388-4186-8b78-e3fde02f3272	Cell			Annotation	Polygon	2612.9	1889.8	31.75	20.8006	0.9222	7.0167	6.0172	0.4939	55.2692	7185	12.6355	102	28	74	12.9231	1680	12.4275	90	5	85	45.4615	5910	26.0742	154	17	137	47.5615	6183	13.2343	82	30	52	88.8462	11550	4.4695	99	82	17	96.75	38.9317	0.8021	13.4753	10.1547	0.5091	28.624	21.2503	102	8	9.7775	7.5881	90	3	31.1969	23.7569	154	8	65.7238	20.2528	96	29	93.7187	5.8579	104	81	15.3525	8.1457	49	8	8.2107	1.5259	20	3	24.092	18.8906	108	8	74.7701	16.7713	96	29	96.1456	4.8763	104	81	0.3188
WI_Scan1.qptiff - resolution #1	58ef0d88-8f5a-471e-ad0f-55d9415cf265	Cell			Annotation	Polygon	2634.9	1886.6	22.25	16.8692	0.9825	5.8835	4.7861	0.5584	98.4176	8956	21.2891	156	53	103	5.1758	471	1.9356	14	3	11	24.5714	2236	15.904	87	11	76	33.1209	3014	4.7536	43	26	17	83.7802	7624	1.9822	89	80	9	100.25	37.8547	0.8791	13.7984	9.9657	0.6708	33.8988	37.2344	156	6	6.4988	2.4602	21	3	20.958	18.7271	160	7	49.0099	15.6997	103	26	88.3111	4.8789	107	80	15.2006	9.9086	63	6	6.8822	2.4655	21	4	19.9108	19.3659	160	7	53.6147	14.73	103	36	89.6242	4.6794	107	82	0.2097
WI_Scan1.qptiff - resolution #1	241ca38e-a386-4620-8083-4112287a98a6	Cell			Annotation	Polygon	2558.1	1889.9	12.75	14.5644	0.7553	5.8437	3	0.8223	53.963	2914	11.5611	86	28	58	8.4815	458	2.0808	15	6	9	35.8148	1934	25.7851	121	13	108	64.7222	3495	7.764	93	53	40	94.5556	5106	2.5747	104	91	13	49.5	34.1408	0.5337	14.5562	5.6855	0.9306	24.5764	21.0494	86	4	7.0936	2.5787	18	3	25.5271	20.2808	121	7	60.8719	17.2344	107	28	94.1921	5.1749	109	82	13.9262	11.2958	51	4	6.5906	2.5628	18	3	21.7987	16.4522	116	7	59.4765	19.4021	107	28	94.0604	5.8405	109	82	0.2523
