Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio
WK_Scan1.qptiff - resolution #1	34f51eef-ba90-45eb-85b1-f49ee41cab39	Cell			Annotation	Polygon	4990.1	11245	12.25	14.2025	0.7632	5.5488	3.2311	0.8072	124.4151	6594	34.7698	244	73	171	3.434	182	0.5374	5	3	2	30.4528	1614	12.5707	82	16	66	34.1509	1810	4.0115	44	28	16	86.2076	4569	1.3353	90	84	6	37.75	23.9004	0.8305	9.1588	5.7459	0.7444	68.7386	48.938	244	8	3.902	1.3366	12	2	20.1176	12.8611	82	7	34.7778	3.9004	48	28	86.098	1.4178	91	82	39.23	22.4274	99	8	4.15	1.5529	12	2	14.64	9.1359	62	7	35.11	3.8189	48	28	86.04	1.4628	91	82	0.3259
WK_Scan1.qptiff - resolution #1	011f68d9-99c9-4cc9-b1d1-65d6f9feeb1b	Cell			Annotation	Polygon	4976.2	11247.2	12.25	13.7252	0.8172	5.052	2.9381	0.7999	74.1373	3781	23.0695	143	41	102	4.3529	222	1.4536	10	3	7	31.1373	1588	19.2655	94	12	82	44.4706	2268	16.1831	104	22	82	89.5882	4569	5.5251	108	82	26	83.75	34.2004	0.8998	11.7479	9.8406	0.4004	34.0947	27.0257	143	4	8.4763	4.8467	17	2	23.2012	22.8563	166	6	89.1331	50.9614	165	21	103.5917	15.8546	127	80	26.9791	20.7572	98	4	9.2091	4.8723	17	2	21.7909	23.183	166	6	97.0697	50.9458	165	21	106.0801	15.8011	127	80	0.1382
WK_Scan1.qptiff - resolution #1	ac180cb4-a0d1-4044-a078-ba0b641a0c51	Cell			Annotation	Polygon	5043.1	11250.6	24.25	20.8841	0.6987	8.3364	4.7965	0.8242	89.2755	8749	25.5516	164	47	117	6.4694	634	2.3163	13	3	10	21.7551	2132	14.0081	88	10	78	69.0612	6768	25.0557	139	34	105	96.898	9496	8.1753	121	85	36	140	43.5165	0.929	14.4017	13.0323	0.3348	31.2336	30.2458	164	6	10.9522	4.6509	28	3	12.6708	7.6664	88	5	114.4053	46.2345	177	33	109.9982	14.13	133	84	19.0535	10.6841	84	6	11.8929	4.4665	28	3	10.7645	3.0483	30	5	123.9208	43.97	177	33	112.7473	13.5672	133	84	0.1685
WK_Scan1.qptiff - resolution #1	6b484940-044a-45d9-8456-ea7999df59f7	Cell		20 IGM	Annotation	Polygon	5022.2	11249.9	14	13.7024	0.937	4.7724	3.799	0.5571	91.9649	5242	37.7799	212	46	166	24.4211	1392	25.3356	95	5	90	200.2632	11415	59.6255	246	77	169	65.5614	3737	24.6996	117	39	78	102.8772	5864	12.7966	129	87	42	72.5	32.5886	0.8579	11.89	8.8046	0.6202	40.2089	35.2796	212	6	19.8322	20.1398	110	3	121.7363	89.5474	246	10	84.4144	63.3693	254	28	107.4555	26.2674	198	83	27.6553	19.8868	110	6	18.7191	18.5587	110	3	102.6894	85.1749	246	10	88.9872	68.8496	254	28	108.566	28.5046	198	83	0.179
WK_Scan1.qptiff - resolution #1	67e89527-d91b-4308-bc3e-651e16f7e209	Cell			Annotation	Polygon	4985.1	11251.3	25.75	19.6005	0.8423	6.5884	5.4328	0.6388	117.2315	12661	39.3291	250	64	186	4.2407	458	1.2142	9	3	6	60.0278	6483	51.5078	244	20	224	39.037	4216	8.3397	72	28	44	88.75	9585	3.6433	103	84	19	91.5	36.6115	0.8578	13.2612	10.126	0.5692	57.3946	48.3841	250	4	4.9351	3.7692	48	2	46.4622	50.7758	249	7	40.5081	9.5168	73	21	88.9	4.0849	105	80	32.729	24.1518	101	4	5.2214	4.3818	48	2	40.8702	49.4958	249	7	41.1145	9.9131	73	21	88.9618	4.2587	105	80	0.2841
WK_Scan1.qptiff - resolution #1	ce096f3d-46bd-4707-99e8-03356dcbe527	Cell			Annotation	Polygon	4997.2	11253.1	40.25	29.8557	0.5674	10.9343	6.2691	0.8618	114.3394	18866	28.1133	216	68	148	5.8667	968	4.1548	45	3	42	42.3333	6985	40.4819	248	8	240	39.8727	6579	9.0871	83	27	56	88.8727	14664	4.1484	109	83	26	123.25	43.9146	0.8031	16.2559	10.9317	0.7395	63.6084	45.4227	216	5	6.494	5.1767	45	3	32.8052	39.681	248	7	49.6345	34.1361	255	27	91.6767	12.0948	181	83	38.4715	28.0245	143	5	6.8048	5.5943	33	3	28.0841	38.4726	247	7	54.4715	40.4077	255	27	93.0661	14.3053	181	83	0.324
WK_Scan1.qptiff - resolution #1	1aaded5a-a566-4971-9b41-28ce45420863	Cell			Annotation	Polygon	5057.2	11252.4	55.5	34.504	0.5858	12.5552	7.645	0.7279	66.9776	14936	17.0456	152	37	115	7.5157	1676	4.27	32	3	29	14.6009	3256	9.4824	82	6	76	76.6099	17084	39.8741	173	27	146	98.9462	22065	13.013	130	82	48	133.5	46.0222	0.7921	17.2486	12	0.6359	40.5749	26.5916	152	8	11.0702	4.4558	32	3	12.8133	7.1121	82	6	117.963	48.6354	186	27	111.0628	15.0185	132	82	22.0597	12.9144	72	8	13.5629	2.4354	17	4	11.5597	4.4012	53	7	146.9623	29.4844	186	37	119.5597	9.4832	132	84	0.4137
WK_Scan1.qptiff - resolution #1	376c7d07-35e3-422b-a6be-91f5e5b1b777	Cell		20 IGM	Annotation	Polygon	5011.9	11252.7	20.25	21.7361	0.5386	9.5397	2.5974	0.9659	123.7882	10522	39.8136	236	59	177	18.9765	1613	14.4585	87	5	82	201.5529	17132	45.7049	246	98	148	58.1882	4946	9.356	80	40	40	98.4471	8368	4.9002	109	90	19	94.5	40.6072	0.7202	15.7261	8.6509	0.858	54.189	46.9366	236	6	16.5853	13.5183	127	4	106.2651	80.9357	247	9	80.769	55.9124	255	36	103.9895	20.9195	189	86	34.2027	24.2881	101	6	15.8986	13.1815	127	4	78.902	66.9009	247	9	87.2534	61.749	255	36	105.5811	23.3558	189	86	0.211
WK_Scan1.qptiff - resolution #1	ab9e110d-9f6e-43e0-9826-34bbba25346f	Cell			Annotation	Polygon	5027.3	11257.6	24.5	18.6508	0.8851	6.3839	5.2129	0.5243	107.9293	10685	32.787	228	63	165	4	396	1.9846	12	2	10	18.5354	1835	5.2339	36	9	27	28.3939	2811	6.6713	50	21	29	84.6869	8384	2.1316	92	81	11	106.5	40.3063	0.8238	14.7122	9.4004	0.7648	60.2395	45.5814	244	6	5.9372	5.5636	54	2	20.9907	21.7973	191	7	50.6163	46.2229	254	21	92.5349	17.9174	185	80	45.9758	38.6698	244	6	6.5166	6.1325	54	2	21.7251	24.6409	191	7	57.2628	50.7133	254	22	94.8822	19.7987	185	80	0.2206
WK_Scan1.qptiff - resolution #1	d5def2a8-06e1-4c44-84df-e0ea487a6517	Cell			Annotation	Polygon	5011.2	11262.8	34.25	27.9757	0.5499	11.6337	4.7487	0.9409	114.8099	16303	32.7724	215	48	167	10.4789	1488	12.5555	78	3	75	69.3592	9849	56.227	246	14	232	44.9155	6378	18.3715	105	27	78	91.3169	12967	7.0059	113	83	30	111.25	46.6755	0.6417	17.7819	9.6515	0.8703	58.6325	48.7859	215	4	9.0512	10.9077	96	2	67.9042	66.5182	248	9	50.3252	36.5926	253	25	92.6615	12.2597	159	81	32.6482	29.1163	121	4	8.3909	10.0083	96	2	67.2313	70.8502	248	9	52.8274	42.2494	253	25	93.2834	14.0073	159	81	0.312
WK_Scan1.qptiff - resolution #1	37f9216f-94ca-4f07-8e6c-364eb2b6f631	Cell			Annotation	Polygon	5001.4	11263.1	30	23.0282	0.7109	8.9692	4.1957	0.8914	105.056	13132	28.9586	204	52	152	4.128	516	1.0624	10	3	7	17.688	2211	7.789	49	8	41	36.728	4591	4.9455	48	26	22	87.648	10956	1.7379	92	83	9	141.75	45.491	0.8608	16.4025	12.2951	0.6927	37.2715	40.9856	204	4	4.8984	3.804	33	2	16.0648	21.7799	232	5	44.2137	29.4187	255	25	90.3608	10.3525	179	83	18.2735	16.2977	74	4	5.1143	4.2435	33	2	15.6099	24.2849	232	5	46.3117	32.8877	255	25	91.1211	11.5669	179	83	0.2148
WK_Scan1.qptiff - resolution #1	d8b08073-3a76-4ed6-b72d-7a6165a3a39e	Cell			Annotation	Polygon	4965.5	11261.1	35.25	21.8353	0.9291	7.8278	5.9979	0.581	55.1597	7943	16.557	112	31	81	9.5764	1379	1.6497	13	6	7	14.3681	2069	5.1911	29	8	21	102.0972	14702	16.976	141	74	67	108.0417	15558	4.9527	119	98	21	213.75	52.34	0.9805	17.6912	15.7711	0.4047	19.8842	18.418	112	4	9.2678	3.0483	16	2	9.9228	3.8251	47	5	97.9251	31.7712	171	27	106.9076	9.8397	128	83	12.7398	7.0226	75	4	9.2053	3.2566	16	2	9.0225	2.7114	47	5	97.0802	33.9388	171	27	106.6779	10.5452	128	83	0.1644
WK_Scan1.qptiff - resolution #1	5f334d0a-c76c-46e8-bfaf-1a6d8adc4cc6	Cell			Annotation	Polygon	4979.3	11260.5	14	13.5898	0.9526	4.7867	3.6717	0.6354	107.15	6429	40.3652	240	52	188	4.5	270	0.8336	7	3	4	30.6833	1841	29.782	164	9	155	41.3667	2482	4.536	53	34	19	89.1	5346	1.8567	93	85	8	89	35.0196	0.912	13.0697	8.6554	0.7195	35.4694	39.9731	240	4	4.2917	4.9607	60	1	22.025	35.3437	240	5	34.3861	10.169	66	19	86.7	3.8868	101	80	21.1333	18.966	96	4	4.25	5.4221	60	1	20.2933	36.1494	240	5	32.99	10.4098	66	19	86.22	4.009	101	80	0.1521
WK_Scan1.qptiff - resolution #1	6e57dd9f-b3c2-42a2-a2e9-0284f30fdf95	Cell			Annotation	Polygon	4988.1	11260.9	19.5	16.4281	0.908	6.0306	3.9648	0.7335	117.125	9370	32.3393	211	56	155	18.475	1478	14.4948	100	6	94	207.6375	16611	63.8714	252	48	204	63.175	5054	16.4999	106	38	68	103.2875	8263	7.932	123	88	35	72.5	33.0484	0.8342	11.4507	9	0.3356	45.2321	49.4195	211	4	9.6792	11.2344	100	2	87.7474	92.1781	252	6	47.1536	16.2771	106	25	93.6451	8.3717	123	82	18.23	17.0653	93	4	6.3756	7.4422	81	2	42.7183	52.1702	252	6	41.1362	11.4119	102	25	90.0235	4.9825	114	82	0.2613
WK_Scan1.qptiff - resolution #1	a6466d3f-1093-4aec-bf34-1c960fd5540a	Cell			Annotation	Polygon	5055.7	11264.2	62.5	33.7337	0.6902	13.0303	6.8861	0.8664	88.3765	22536	26.7799	206	41	165	5.9608	1520	2.4636	14	3	11	16.4863	4204	7.8624	63	6	57	61.5098	15685	26.1677	148	28	120	93.8824	23940	7.7902	122	82	40	170.75	53.7813	0.7418	21.3033	12.6362	0.7692	47.1732	37.7347	206	10	9.9825	4.1614	18	2	12.5677	5.827	63	6	107.1557	45.9138	190	28	107.885	14.0781	135	82	22.8519	15.6963	77	10	12.3565	2.9611	18	2	10.2546	1.779	19	7	134.0995	31.4863	190	32	116.1505	9.7573	135	84	0.3647
WK_Scan1.qptiff - resolution #1	54fce7d5-e445-471f-aec1-fa4ae0d9a4f0	Cell			Annotation	Polygon	5045.1	11262.4	12.25	13.6064	0.8315	4.7428	3.674	0.6262	67.549	3445	37.8102	181	34	147	7.9216	404	3.8463	15	3	12	9.9412	507	2.8595	17	6	11	88.5098	4514	39.7328	150	41	109	102.4902	5227	12.6576	122	85	37	86.25	35.5022	0.8599	12.9831	8.9309	0.7002	29.1383	24.0398	181	9	10.8415	3.7371	17	3	10.5447	3.3694	47	6	115.9135	39.4555	169	40	110.6801	12.2453	128	85	22.5203	11.6834	67	9	11.3446	3.485	17	3	10.6486	3.4432	47	6	120.6351	37.498	169	40	112.0912	11.6241	128	86	0.1371
WK_Scan1.qptiff - resolution #1	da6fc128-91bd-432a-be6a-c8f140290054	Cell			Annotation	Polygon	5018.4	11263.7	18	16.1651	0.8656	6.1253	4.01	0.7421	126.1579	9588	30.2615	231	66	165	7.2105	548	5.5625	30	3	27	37.1711	2825	16.3727	96	16	80	35.7368	2716	7.1187	59	27	32	87.75	6669	2.664	96	84	12	55	28.0721	0.877	9.94	7.5303	0.6435	67.6323	51.1482	231	6	7.0942	7.9404	75	3	39.1928	36.6315	243	8	42.1659	16.1118	177	27	89.7803	5.9253	138	83	37.3741	28.332	114	6	7.034	8.9423	75	3	40.2381	43.5826	243	8	45.4898	18.3316	177	31	90.8299	6.818	138	83	0.3141
WK_Scan1.qptiff - resolution #1	d8e7aa12-ee77-4eb6-8848-d95af3408f1b	Cell			Annotation	Polygon	5029.6	11264.2	11.25	12.9316	0.8454	4.6569	3.5192	0.7083	85.8367	4206	19.1467	149	48	101	3.2449	159	1.2834	9	2	7	15.5306	761	4.6238	27	10	17	23.551	1154	4.8479	38	18	20	83.1225	4073	1.7869	88	80	8	42.25	27.5385	0.7001	10.7634	6.1698	0.8371	59.3448	25.7533	149	12	4.1839	2.3509	16	2	22.9138	21.7008	147	8	35.5	17.6795	102	18	86.8333	5.2101	105	80	48.96	19.9339	96	12	4.552	2.5667	16	2	25.808	24.8748	147	8	40.184	18.6666	102	19	88.288	5.3909	105	81	0.2714
WK_Scan1.qptiff - resolution #1	f899e8e2-0dc7-4d32-82c1-ce1890d64ac5	Cell			Annotation	Polygon	4986.1	11270.2	24.25	20.5168	0.7239	8.2614	4.1617	0.8791	77.1717	7640	23.7182	152	34	118	2.8081	278	0.829	5	2	3	11.6869	1157	3.5475	23	6	17	28.2121	2793	7.7884	66	21	45	86.3838	8552	3.1742	100	82	18	117.25	41.18	0.8689	14.8532	10.4086	0.6956	26.2845	30.2236	152	3	3.4968	2.1917	15	1	8.0573	3.2155	23	4	37.1677	24.6323	152	17	88.8089	8.1299	124	81	12.7419	11.5639	59	3	3.6801	2.3966	15	1	7.0914	2.3072	21	4	39.5511	26.9359	152	17	89.4543	8.8929	124	81	0.2033
WK_Scan1.qptiff - resolution #1	e6c69b52-a4c2-40a0-8b80-6f63c5a8bd58	Cell			Annotation	Polygon	5024.3	11270.4	26.5	23.4929	0.6034	8.9621	5.3348	0.8115	122.5093	13231	32.2187	205	69	136	4.3241	467	1.4586	8	2	6	43.6204	4711	51.1612	198	9	189	40.8426	4411	10.8388	61	22	39	89.8426	9703	4.422	98	80	18	81.5	33.9853	0.8867	12.4228	9.4563	0.4818	70.6514	46.4277	205	6	4.2569	1.4845	12	2	35.0856	43.9376	198	6	39.211	9.0521	64	20	88.9755	3.5952	98	80	45.0776	26.9185	119	6	4.2237	1.4993	12	2	30.8767	39.3486	190	6	38.4064	7.9311	64	20	88.5479	3.0291	96	81	0.3187
